Generation:	416	Best fitness:	155.87074829931973	Average fitness:	317.6096054421768	Fitness standard deviation:	47.7366575473809	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	432	Best fitness:	155.87074829931973	Average fitness:	321.41531972789113	Fitness standard deviation:	41.525432938558204	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	448	Best fitness:	155.87074829931973	Average fitness:	314.71931972789116	Fitness standard deviation:	44.94879199757004	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	464	Best fitness:	155.87074829931973	Average fitness:	327.19703401360545	Fitness standard deviation:	51.31753031103981	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	480	Best fitness:	155.87074829931973	Average fitness:	327.2296054421768	Fitness standard deviation:	42.82090817174551	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	496	Best fitness:	155.87074829931973	Average fitness:	322.4953197278911	Fitness standard deviation:	45.55057185420286	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	512	Best fitness:	155.87074829931973	Average fitness:	319.1278911564626	Fitness standard deviation:	45.29431482097992	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	528	Best fitness:	155.87074829931973	Average fitness:	314.5461768707483	Fitness standard deviation:	43.802731723592075	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	544	Best fitness:	155.87074829931973	Average fitness:	320.5290340136053	Fitness standard deviation:	44.93359779651276	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	560	Best fitness:	155.87074829931973	Average fitness:	331.676462585034	Fitness standard deviation:	52.6438293377955	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	576	Best fitness:	155.87074829931973	Average fitness:	327.0907482993196	Fitness standard deviation:	50.70456832455624	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	592	Best fitness:	155.87074829931973	Average fitness:	327.1176054421769	Fitness standard deviation:	43.429744254840095	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	608	Best fitness:	155.87074829931973	Average fitness:	321.42503401360534	Fitness standard deviation:	44.95325826423962	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	624	Best fitness:	155.87074829931973	Average fitness:	303.95017687074824	Fitness standard deviation:	44.920440614263704	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	640	Best fitness:	155.87074829931973	Average fitness:	312.48274829931967	Fitness standard deviation:	45.33339106879077	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	656	Best fitness:	155.87074829931973	Average fitness:	314.2987482993197	Fitness standard deviation:	42.68002237437968	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	672	Best fitness:	155.87074829931973	Average fitness:	316.3661768707483	Fitness standard deviation:	43.55598025342484	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	688	Best fitness:	155.87074829931973	Average fitness:	326.88217687074825	Fitness standard deviation:	48.74671463550238	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	704	Best fitness:	155.87074829931973	Average fitness:	321.2753197278912	Fitness standard deviation:	50.82084237710319	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	720	Best fitness:	155.87074829931973	Average fitness:	317.71131972789124	Fitness standard deviation:	46.44700261500593	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	736	Best fitness:	155.87074829931973	Average fitness:	320.37417687074833	Fitness standard deviation:	51.76088378578668	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	752	Best fitness:	155.87074829931973	Average fitness:	308.5416054421769	Fitness standard deviation:	40.98005218669798	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	768	Best fitness:	155.87074829931973	Average fitness:	317.59874829931977	Fitness standard deviation:	51.52083160692757	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	784	Best fitness:	155.87074829931973	Average fitness:	321.520462585034	Fitness standard deviation:	50.018501331293116	Best genome:	A16	A15	A17	A6	A14	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	A13	N9	
Generation:	800	Best fitness:	155.8421768707483	Average fitness:	314.1936054421769	Fitness standard deviation:	45.752207931555006	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	816	Best fitness:	155.8421768707483	Average fitness:	320.1290340136054	Fitness standard deviation:	45.1654626800395	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	832	Best fitness:	155.8421768707483	Average fitness:	322.28617687074825	Fitness standard deviation:	51.91038564169398	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	848	Best fitness:	155.8421768707483	Average fitness:	317.06960544217696	Fitness standard deviation:	44.495207707099866	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	864	Best fitness:	155.8421768707483	Average fitness:	316.63360544217693	Fitness standard deviation:	47.44614657155833	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	880	Best fitness:	155.8421768707483	Average fitness:	316.3878911564625	Fitness standard deviation:	47.37771602251637	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	896	Best fitness:	155.8421768707483	Average fitness:	322.5113197278912	Fitness standard deviation:	41.49459727408829	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	912	Best fitness:	155.8421768707483	Average fitness:	321.8376054421769	Fitness standard deviation:	50.89365955778454	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	928	Best fitness:	155.8421768707483	Average fitness:	312.2576054421769	Fitness standard deviation:	47.11614419274817	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	944	Best fitness:	155.8421768707483	Average fitness:	318.41074829931983	Fitness standard deviation:	45.27415309837955	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	960	Best fitness:	155.8421768707483	Average fitness:	320.59531972789114	Fitness standard deviation:	41.71270359426319	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	976	Best fitness:	155.8421768707483	Average fitness:	327.70846258503394	Fitness standard deviation:	44.482779769254535	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	992	Best fitness:	155.8421768707483	Average fitness:	316.18903401360546	Fitness standard deviation:	44.50815802680196	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
