Generation:	416	Best fitness:	152.69931972789115	Average fitness:	318.55474829931967	Fitness standard deviation:	43.28916173353137	Best genome:	A6	A14	A12	A11	N12	N6	E3	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	432	Best fitness:	149.69931972789115	Average fitness:	319.78560544217703	Fitness standard deviation:	48.62406240300607	Best genome:	A6	A14	A12	A11	N12	E3	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	448	Best fitness:	149.69931972789115	Average fitness:	312.3941768707483	Fitness standard deviation:	44.09738256474215	Best genome:	A6	A14	A12	A11	N12	E3	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	464	Best fitness:	149.69931972789115	Average fitness:	318.8427482993197	Fitness standard deviation:	45.712066549707615	Best genome:	A6	A14	A12	A11	N12	E3	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	480	Best fitness:	149.69931972789115	Average fitness:	321.4416054421769	Fitness standard deviation:	53.83487360438399	Best genome:	A6	A14	A12	A11	N12	E3	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	496	Best fitness:	149.69931972789115	Average fitness:	312.5758911564626	Fitness standard deviation:	54.170159852533004	Best genome:	A6	A14	A12	A11	N12	E3	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	512	Best fitness:	149.69931972789115	Average fitness:	321.9981768707483	Fitness standard deviation:	54.84914293155847	Best genome:	A6	A14	A12	A11	N12	E3	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	528	Best fitness:	149.69931972789115	Average fitness:	312.564462585034	Fitness standard deviation:	47.46591508844714	Best genome:	A6	A14	A12	A11	N12	E3	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	544	Best fitness:	149.69931972789115	Average fitness:	320.9770340136055	Fitness standard deviation:	48.84190406958821	Best genome:	A6	A14	A12	A11	N12	E3	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A13	A9	
Generation:	560	Best fitness:	143.69931972789115	Average fitness:	315.2130340136054	Fitness standard deviation:	41.00571766602949	Best genome:	A13	A9	A11	N12	E3	A12	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	
Generation:	576	Best fitness:	143.69931972789115	Average fitness:	333.55074829931976	Fitness standard deviation:	51.740583684376816	Best genome:	A13	A9	A11	N12	E3	A12	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	
Generation:	592	Best fitness:	143.69931972789115	Average fitness:	325.87189115646265	Fitness standard deviation:	53.50000784588919	Best genome:	A13	A9	A11	N12	E3	A12	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	
Generation:	608	Best fitness:	143.69931972789115	Average fitness:	322.70274829931975	Fitness standard deviation:	46.76202353820624	Best genome:	A13	A9	A11	N12	E3	A12	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	
Generation:	624	Best fitness:	143.69931972789115	Average fitness:	318.6158911564626	Fitness standard deviation:	43.296213659216086	Best genome:	A13	A9	A11	N12	E3	A12	N6	N3	E4	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	
Generation:	640	Best fitness:	137.67074829931974	Average fitness:	324.67246258503405	Fitness standard deviation:	49.46685566423363	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	656	Best fitness:	137.67074829931974	Average fitness:	324.6124625850341	Fitness standard deviation:	53.57907479451968	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	672	Best fitness:	137.67074829931974	Average fitness:	324.8513197278913	Fitness standard deviation:	48.63885586731695	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	688	Best fitness:	137.67074829931974	Average fitness:	330.61074829931977	Fitness standard deviation:	51.90641539524449	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	704	Best fitness:	137.67074829931974	Average fitness:	322.59417687074836	Fitness standard deviation:	50.42822579889649	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	720	Best fitness:	137.67074829931974	Average fitness:	319.2713197278911	Fitness standard deviation:	45.95664238459231	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	736	Best fitness:	137.67074829931974	Average fitness:	322.2793197278911	Fitness standard deviation:	43.27936558816783	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	752	Best fitness:	137.67074829931974	Average fitness:	312.0867482993199	Fitness standard deviation:	53.93147433170947	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	768	Best fitness:	137.67074829931974	Average fitness:	322.6153197278911	Fitness standard deviation:	45.73009884002402	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	784	Best fitness:	137.67074829931974	Average fitness:	322.55931972789125	Fitness standard deviation:	56.307091589473046	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	800	Best fitness:	137.67074829931974	Average fitness:	318.12389115646266	Fitness standard deviation:	39.358295968588635	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	816	Best fitness:	137.67074829931974	Average fitness:	325.9930340136056	Fitness standard deviation:	50.20355822498023	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	832	Best fitness:	137.67074829931974	Average fitness:	321.0873197278912	Fitness standard deviation:	57.18583871796889	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	848	Best fitness:	137.67074829931974	Average fitness:	320.8084625850341	Fitness standard deviation:	45.63009307418936	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	864	Best fitness:	137.67074829931974	Average fitness:	323.57417687074843	Fitness standard deviation:	41.57819125749577	Best genome:	A9	A11	N12	N6	E3	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
