Generation:	416	Best fitness:	114.75646258503401	Average fitness:	274.4164625850341	Fitness standard deviation:	54.692905110148935	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	432	Best fitness:	114.75646258503401	Average fitness:	247.44931972789118	Fitness standard deviation:	47.3973243669182	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	448	Best fitness:	114.75646258503401	Average fitness:	268.4321768707483	Fitness standard deviation:	56.570282293581585	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	464	Best fitness:	114.75646258503401	Average fitness:	264.3850340136054	Fitness standard deviation:	66.09995399671128	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	480	Best fitness:	114.75646258503401	Average fitness:	261.36360544217683	Fitness standard deviation:	61.8649238755084	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	496	Best fitness:	114.75646258503401	Average fitness:	281.996462585034	Fitness standard deviation:	52.186570639409155	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	512	Best fitness:	114.75646258503401	Average fitness:	265.76074829931974	Fitness standard deviation:	75.4927434139419	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	528	Best fitness:	114.75646258503401	Average fitness:	258.5793197278911	Fitness standard deviation:	57.48125841861637	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	544	Best fitness:	114.75646258503401	Average fitness:	279.3621768707483	Fitness standard deviation:	56.641438353695705	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	560	Best fitness:	114.75646258503401	Average fitness:	274.1707482993197	Fitness standard deviation:	62.80655529286017	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	576	Best fitness:	114.75646258503401	Average fitness:	275.526462585034	Fitness standard deviation:	65.39972444240769	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	592	Best fitness:	114.75646258503401	Average fitness:	276.5207482993197	Fitness standard deviation:	53.406942814734556	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	608	Best fitness:	114.75646258503401	Average fitness:	257.3093197278912	Fitness standard deviation:	61.91243472412781	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	624	Best fitness:	114.75646258503401	Average fitness:	257.06217687074826	Fitness standard deviation:	66.97702688692777	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	640	Best fitness:	114.75646258503401	Average fitness:	269.27360544217686	Fitness standard deviation:	48.25177327818943	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	656	Best fitness:	114.75646258503401	Average fitness:	267.1607482993197	Fitness standard deviation:	57.2977495551233	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	672	Best fitness:	114.75646258503401	Average fitness:	269.5464625850341	Fitness standard deviation:	50.780318600249615	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	688	Best fitness:	114.75646258503401	Average fitness:	274.7721768707483	Fitness standard deviation:	56.06255505764821	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	704	Best fitness:	114.75646258503401	Average fitness:	261.7450340136054	Fitness standard deviation:	52.29705294697566	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	720	Best fitness:	114.75646258503401	Average fitness:	280.896462585034	Fitness standard deviation:	63.38581628505268	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	736	Best fitness:	114.75646258503401	Average fitness:	267.12789115646257	Fitness standard deviation:	66.09031915276462	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	752	Best fitness:	114.75646258503401	Average fitness:	269.026462585034	Fitness standard deviation:	58.91984141394899	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	768	Best fitness:	114.75646258503401	Average fitness:	269.51217687074825	Fitness standard deviation:	55.756180933102826	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	784	Best fitness:	114.75646258503401	Average fitness:	256.60931972789115	Fitness standard deviation:	58.093588304053114	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	800	Best fitness:	114.75646258503401	Average fitness:	281.35931972789115	Fitness standard deviation:	51.16710031946349	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	816	Best fitness:	114.75646258503401	Average fitness:	285.9121768707482	Fitness standard deviation:	61.30194888202735	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	832	Best fitness:	114.75646258503401	Average fitness:	256.18503401360545	Fitness standard deviation:	64.48878022966635	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	848	Best fitness:	114.75646258503401	Average fitness:	268.26217687074836	Fitness standard deviation:	59.36618848042948	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	864	Best fitness:	114.75646258503401	Average fitness:	287.84931972789116	Fitness standard deviation:	48.425281704531834	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	880	Best fitness:	114.75646258503401	Average fitness:	275.3836054421768	Fitness standard deviation:	54.74046406564754	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
