Generation:	416	Best fitness:	138.8421768707483	Average fitness:	323.8170340136055	Fitness standard deviation:	50.07130707627404	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	432	Best fitness:	138.8421768707483	Average fitness:	317.22389115646257	Fitness standard deviation:	45.562222719068934	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	448	Best fitness:	138.8421768707483	Average fitness:	332.16331972789123	Fitness standard deviation:	54.48087013000481	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	464	Best fitness:	138.8421768707483	Average fitness:	321.19989115646257	Fitness standard deviation:	53.94887625014132	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	480	Best fitness:	138.8421768707483	Average fitness:	326.11874829931975	Fitness standard deviation:	44.60699952030042	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	496	Best fitness:	138.8421768707483	Average fitness:	319.91760544217686	Fitness standard deviation:	48.59547060778233	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	512	Best fitness:	138.8421768707483	Average fitness:	321.4513197278912	Fitness standard deviation:	55.65073898036956	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	528	Best fitness:	138.8421768707483	Average fitness:	323.9530340136054	Fitness standard deviation:	53.953846531937245	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	544	Best fitness:	138.8421768707483	Average fitness:	324.7313197278911	Fitness standard deviation:	49.83051786499792	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	560	Best fitness:	138.8421768707483	Average fitness:	307.7993197278913	Fitness standard deviation:	48.042907438060425	Best genome:	E4	N5	N3	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	576	Best fitness:	133.8421768707483	Average fitness:	318.3947482993197	Fitness standard deviation:	51.51212280064347	Best genome:	E4	N3	N5	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	592	Best fitness:	133.8421768707483	Average fitness:	318.21646258503415	Fitness standard deviation:	48.786983292426584	Best genome:	E4	N3	N5	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	608	Best fitness:	133.8421768707483	Average fitness:	318.86103401360555	Fitness standard deviation:	49.656781721520936	Best genome:	E4	N3	N5	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	624	Best fitness:	133.8421768707483	Average fitness:	330.20960544217684	Fitness standard deviation:	50.26552874404453	Best genome:	E4	N3	N5	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	640	Best fitness:	133.8421768707483	Average fitness:	314.7490340136054	Fitness standard deviation:	49.235552381238854	Best genome:	E4	N3	N5	A11	N7	A6	A10	E3	N6	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	656	Best fitness:	130.8421768707483	Average fitness:	315.912462585034	Fitness standard deviation:	49.468488328120436	Best genome:	E4	N3	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	672	Best fitness:	125.8421768707483	Average fitness:	327.8038911564626	Fitness standard deviation:	53.15420604165175	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	688	Best fitness:	125.8421768707483	Average fitness:	317.3004625850341	Fitness standard deviation:	47.74254969893315	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	704	Best fitness:	125.8421768707483	Average fitness:	317.8633197278912	Fitness standard deviation:	48.01725771734448	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	720	Best fitness:	125.8421768707483	Average fitness:	316.9816054421769	Fitness standard deviation:	44.747233735957444	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	736	Best fitness:	125.8421768707483	Average fitness:	315.46903401360544	Fitness standard deviation:	48.31893646957702	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	752	Best fitness:	125.8421768707483	Average fitness:	313.34674829931987	Fitness standard deviation:	54.998239262354424	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	768	Best fitness:	125.8421768707483	Average fitness:	312.10731972789125	Fitness standard deviation:	51.11332971716391	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	784	Best fitness:	125.8421768707483	Average fitness:	301.40674829931976	Fitness standard deviation:	47.66758109736081	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	800	Best fitness:	125.8421768707483	Average fitness:	314.8947482993197	Fitness standard deviation:	49.70219339306499	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	816	Best fitness:	125.8421768707483	Average fitness:	316.9398911564625	Fitness standard deviation:	49.37529551324638	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	832	Best fitness:	125.8421768707483	Average fitness:	317.5261768707484	Fitness standard deviation:	56.99448606627824	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	848	Best fitness:	125.8421768707483	Average fitness:	316.01646258503393	Fitness standard deviation:	53.14947677665937	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	864	Best fitness:	125.8421768707483	Average fitness:	326.07017687074824	Fitness standard deviation:	52.686366432282405	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	880	Best fitness:	125.8421768707483	Average fitness:	315.7461768707483	Fitness standard deviation:	53.29904291670474	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	896	Best fitness:	125.8421768707483	Average fitness:	324.34903401360543	Fitness standard deviation:	46.13432448661989	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	912	Best fitness:	125.8421768707483	Average fitness:	313.29931972789115	Fitness standard deviation:	42.18436619199592	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	928	Best fitness:	125.8421768707483	Average fitness:	324.00331972789115	Fitness standard deviation:	43.34583613832605	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	944	Best fitness:	125.8421768707483	Average fitness:	310.0273197278911	Fitness standard deviation:	55.923977914629056	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	960	Best fitness:	125.8421768707483	Average fitness:	318.5130340136054	Fitness standard deviation:	62.82766198003513	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	976	Best fitness:	125.8421768707483	Average fitness:	315.8198911564627	Fitness standard deviation:	53.9477731688487	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	992	Best fitness:	125.8421768707483	Average fitness:	321.54674829931975	Fitness standard deviation:	54.55092527620221	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
