Generation:	416	Best fitness:	159.47074829931972	Average fitness:	274.5350340136054	Fitness standard deviation:	39.965528896788044	Best genome:	A16	E5	N12	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	N3	A17	A7	A13	
Generation:	432	Best fitness:	159.47074829931972	Average fitness:	292.30646258503407	Fitness standard deviation:	47.122803418735785	Best genome:	A16	E5	N12	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	N3	A17	A7	A13	
Generation:	448	Best fitness:	159.47074829931972	Average fitness:	279.53789115646265	Fitness standard deviation:	50.96516639543411	Best genome:	A16	E5	N12	N6	E3	A8	N9	A9	E4	N5	A11	A15	N7	A6	A12	A14	A10	N3	A17	A7	A13	
Generation:	464	Best fitness:	153.29931972789115	Average fitness:	269.6693197278912	Fitness standard deviation:	57.11736536755361	Best genome:	N9	A9	E4	A11	A15	A17	A13	N5	N6	N7	A6	A12	A14	A10	N3	A7	A16	E5	N12	E3	A8	
Generation:	480	Best fitness:	153.29931972789115	Average fitness:	271.22931972789115	Fitness standard deviation:	60.67119376657447	Best genome:	N9	A9	E4	A11	A15	A17	A13	N5	N6	N7	A6	A12	A14	A10	N3	A7	A16	E5	N12	E3	A8	
Generation:	496	Best fitness:	153.29931972789115	Average fitness:	280.246462585034	Fitness standard deviation:	51.04473450227911	Best genome:	N9	A9	E4	A11	A15	A17	A13	N5	N6	N7	A6	A12	A14	A10	N3	A7	A16	E5	N12	E3	A8	
Generation:	512	Best fitness:	153.29931972789115	Average fitness:	292.54931972789115	Fitness standard deviation:	49.84008211985897	Best genome:	N9	A9	E4	A11	A15	A17	A13	N5	N6	N7	A6	A12	A14	A10	N3	A7	A16	E5	N12	E3	A8	
Generation:	528	Best fitness:	153.29931972789115	Average fitness:	299.6721768707483	Fitness standard deviation:	72.85871341444457	Best genome:	N9	A9	E4	A11	A15	A17	A13	N5	N6	N7	A6	A12	A14	A10	N3	A7	A16	E5	N12	E3	A8	
Generation:	544	Best fitness:	153.29931972789115	Average fitness:	281.89217687074836	Fitness standard deviation:	44.210112311690025	Best genome:	N9	A9	E4	A11	A15	A17	A13	N5	N6	N7	A6	A12	A14	A10	N3	A7	A16	E5	N12	E3	A8	
Generation:	560	Best fitness:	153.29931972789115	Average fitness:	293.9350340136054	Fitness standard deviation:	58.839482700732475	Best genome:	N9	A9	E4	A11	A15	A17	A13	N5	N6	N7	A6	A12	A14	A10	N3	A7	A16	E5	N12	E3	A8	
Generation:	576	Best fitness:	153.29931972789115	Average fitness:	280.2250340136055	Fitness standard deviation:	47.371538342109595	Best genome:	N9	A9	E4	A11	A15	A17	A13	N5	N6	N7	A6	A12	A14	A10	N3	A7	A16	E5	N12	E3	A8	
Generation:	592	Best fitness:	148.87074829931973	Average fitness:	282.59217687074823	Fitness standard deviation:	47.67625162895837	Best genome:	A9	A11	A15	A17	A13	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	
Generation:	608	Best fitness:	148.87074829931973	Average fitness:	268.4593197278911	Fitness standard deviation:	58.70596075843942	Best genome:	A9	A11	A15	A17	A13	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	
Generation:	624	Best fitness:	148.87074829931973	Average fitness:	271.6550340136054	Fitness standard deviation:	50.12139180356558	Best genome:	A9	A11	A15	A17	A13	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	
Generation:	640	Best fitness:	148.87074829931973	Average fitness:	277.156462585034	Fitness standard deviation:	55.25637316645207	Best genome:	A9	A11	A15	A17	A13	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	
Generation:	656	Best fitness:	148.87074829931973	Average fitness:	293.49931972789113	Fitness standard deviation:	56.05839084092112	Best genome:	A9	A11	A15	A17	A13	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	
Generation:	672	Best fitness:	148.87074829931973	Average fitness:	272.0193197278912	Fitness standard deviation:	52.68804736079975	Best genome:	A9	A11	A15	A17	A13	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	
Generation:	688	Best fitness:	148.87074829931973	Average fitness:	274.71217687074824	Fitness standard deviation:	51.555786686038715	Best genome:	A9	A11	A15	A17	A13	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	
Generation:	704	Best fitness:	148.87074829931973	Average fitness:	275.886462585034	Fitness standard deviation:	52.553957869556335	Best genome:	A9	A11	A15	A17	A13	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	
Generation:	720	Best fitness:	148.7278911564626	Average fitness:	283.1721768707483	Fitness standard deviation:	50.56913996032097	Best genome:	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	736	Best fitness:	148.7278911564626	Average fitness:	292.4421768707483	Fitness standard deviation:	51.68720838083715	Best genome:	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
