Generation:	416	Best fitness:	147.58503401360545	Average fitness:	271.9878911564626	Fitness standard deviation:	52.971603405475086	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	N7	A14	A17	A10	A6	A12	A9	N5	A7	
Generation:	432	Best fitness:	135.556462585034	Average fitness:	268.01217687074825	Fitness standard deviation:	49.855172679042475	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	448	Best fitness:	135.556462585034	Average fitness:	276.376462585034	Fitness standard deviation:	53.894258601488175	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	464	Best fitness:	135.556462585034	Average fitness:	263.92503401360545	Fitness standard deviation:	48.9119749954874	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	480	Best fitness:	135.556462585034	Average fitness:	278.746462585034	Fitness standard deviation:	53.91061254426589	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	496	Best fitness:	135.556462585034	Average fitness:	265.28217687074823	Fitness standard deviation:	64.8685996174307	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	512	Best fitness:	135.556462585034	Average fitness:	271.1136054421769	Fitness standard deviation:	59.76231322190142	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	528	Best fitness:	135.556462585034	Average fitness:	262.7907482993197	Fitness standard deviation:	44.16505091640878	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	544	Best fitness:	135.556462585034	Average fitness:	270.91074829931966	Fitness standard deviation:	61.68840952227375	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	560	Best fitness:	135.556462585034	Average fitness:	273.96360544217686	Fitness standard deviation:	66.7661510690217	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	576	Best fitness:	135.556462585034	Average fitness:	283.916462585034	Fitness standard deviation:	55.27084288727094	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	592	Best fitness:	135.556462585034	Average fitness:	294.8307482993197	Fitness standard deviation:	54.7566127960629	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	608	Best fitness:	135.556462585034	Average fitness:	275.65360544217685	Fitness standard deviation:	48.75939963803108	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	624	Best fitness:	135.556462585034	Average fitness:	268.15503401360536	Fitness standard deviation:	48.834325895974914	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	640	Best fitness:	135.556462585034	Average fitness:	277.4636054421768	Fitness standard deviation:	59.2329830036459	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	656	Best fitness:	135.556462585034	Average fitness:	275.78503401360547	Fitness standard deviation:	52.10089505283113	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	672	Best fitness:	135.556462585034	Average fitness:	267.17931972789114	Fitness standard deviation:	48.08366653818219	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	688	Best fitness:	135.556462585034	Average fitness:	257.82789115646267	Fitness standard deviation:	63.16229597357162	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	704	Best fitness:	135.556462585034	Average fitness:	267.1850340136054	Fitness standard deviation:	46.84578782275621	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	720	Best fitness:	135.556462585034	Average fitness:	264.8750340136054	Fitness standard deviation:	59.00833720063355	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	736	Best fitness:	135.556462585034	Average fitness:	272.55217687074827	Fitness standard deviation:	52.553260272851986	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	752	Best fitness:	135.556462585034	Average fitness:	266.18789115646257	Fitness standard deviation:	47.7886605113534	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	768	Best fitness:	135.556462585034	Average fitness:	267.1607482993197	Fitness standard deviation:	65.58532518476856	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	784	Best fitness:	135.556462585034	Average fitness:	265.6007482993197	Fitness standard deviation:	58.06106530267622	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	800	Best fitness:	135.556462585034	Average fitness:	264.5421768707483	Fitness standard deviation:	49.95029406871415	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	816	Best fitness:	135.556462585034	Average fitness:	266.03931972789115	Fitness standard deviation:	52.53154457571378	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	832	Best fitness:	135.556462585034	Average fitness:	275.85931972789115	Fitness standard deviation:	48.70541888303014	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	848	Best fitness:	135.556462585034	Average fitness:	282.33789115646255	Fitness standard deviation:	62.91432546709527	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	864	Best fitness:	135.556462585034	Average fitness:	279.4721768707483	Fitness standard deviation:	48.06686709413146	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
