Generation:	416	Best fitness:	173.52789115646257	Average fitness:	322.4713197278912	Fitness standard deviation:	42.2717642974164	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	432	Best fitness:	173.52789115646257	Average fitness:	327.14446258503403	Fitness standard deviation:	42.36602762611013	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	448	Best fitness:	173.52789115646257	Average fitness:	325.980462585034	Fitness standard deviation:	42.52970548322427	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	464	Best fitness:	173.52789115646257	Average fitness:	318.7701768707483	Fitness standard deviation:	49.99090733323411	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	480	Best fitness:	173.52789115646257	Average fitness:	324.772462585034	Fitness standard deviation:	45.55356395385502	Best genome:	A9	N6	A15	A12	N7	E3	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	496	Best fitness:	170.52789115646257	Average fitness:	325.69760544217684	Fitness standard deviation:	41.29261569998853	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	512	Best fitness:	170.52789115646257	Average fitness:	320.6878911564625	Fitness standard deviation:	47.744488302476405	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	528	Best fitness:	170.52789115646257	Average fitness:	333.7244625850341	Fitness standard deviation:	39.163871998023275	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	544	Best fitness:	170.52789115646257	Average fitness:	326.672462585034	Fitness standard deviation:	44.378566773815024	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	560	Best fitness:	170.52789115646257	Average fitness:	319.68674829931985	Fitness standard deviation:	46.35271347009596	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	576	Best fitness:	170.52789115646257	Average fitness:	316.47531972789113	Fitness standard deviation:	47.009909284519736	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	592	Best fitness:	170.52789115646257	Average fitness:	324.41589115646264	Fitness standard deviation:	41.561379183966814	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	608	Best fitness:	170.52789115646257	Average fitness:	318.1827482993198	Fitness standard deviation:	44.75204497527892	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	624	Best fitness:	170.52789115646257	Average fitness:	322.5953197278911	Fitness standard deviation:	39.83467867093102	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	640	Best fitness:	170.52789115646257	Average fitness:	329.38731972789105	Fitness standard deviation:	42.76558136957279	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	656	Best fitness:	170.52789115646257	Average fitness:	333.7810340136055	Fitness standard deviation:	47.393619482726464	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	672	Best fitness:	170.52789115646257	Average fitness:	325.92331972789117	Fitness standard deviation:	42.60748707225345	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	688	Best fitness:	170.52789115646257	Average fitness:	330.0250340136055	Fitness standard deviation:	38.25168039526139	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	704	Best fitness:	170.52789115646257	Average fitness:	336.0598911564627	Fitness standard deviation:	40.278452796420446	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	720	Best fitness:	170.52789115646257	Average fitness:	325.02217687074824	Fitness standard deviation:	34.8503896268443	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	736	Best fitness:	170.52789115646257	Average fitness:	322.72103401360545	Fitness standard deviation:	43.332853750983006	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	752	Best fitness:	170.52789115646257	Average fitness:	321.27017687074823	Fitness standard deviation:	47.06307447740008	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	768	Best fitness:	170.52789115646257	Average fitness:	326.32903401360534	Fitness standard deviation:	45.31130163476586	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
