Generation:	416	Best fitness:	187.556462585034	Average fitness:	296.8436054421769	Fitness standard deviation:	36.539867491912595	Best genome:	E4	N5	A6	A14	N6	A11	N12	A15	A12	N9	A13	A16	E5	A9	N3	E3	N7	A10	A8	A17	A7	
Generation:	432	Best fitness:	187.556462585034	Average fitness:	287.0450340136054	Fitness standard deviation:	36.40658148618467	Best genome:	E4	N5	A6	A14	N6	A11	N12	A15	A12	N9	A13	A16	E5	A9	N3	E3	N7	A10	A8	A17	A7	
Generation:	448	Best fitness:	187.556462585034	Average fitness:	292.8750340136055	Fitness standard deviation:	37.88137367399143	Best genome:	E4	N5	A6	A14	N6	A11	N12	A15	A12	N9	A13	A16	E5	A9	N3	E3	N7	A10	A8	A17	A7	
Generation:	464	Best fitness:	187.556462585034	Average fitness:	300.17931972789114	Fitness standard deviation:	47.21387862370425	Best genome:	E4	N5	A6	A14	N6	A11	N12	A15	A12	N9	A13	A16	E5	A9	N3	E3	N7	A10	A8	A17	A7	
Generation:	480	Best fitness:	187.556462585034	Average fitness:	281.6936054421768	Fitness standard deviation:	40.760794088117045	Best genome:	E4	N5	A6	A14	N6	A11	N12	A15	A12	N9	A13	A16	E5	A9	N3	E3	N7	A10	A8	A17	A7	
Generation:	496	Best fitness:	187.556462585034	Average fitness:	286.55074829931976	Fitness standard deviation:	41.73035952543962	Best genome:	E4	N5	A6	A14	N6	A11	N12	A15	A12	N9	A13	A16	E5	A9	N3	E3	N7	A10	A8	A17	A7	
Generation:	512	Best fitness:	187.556462585034	Average fitness:	304.64503401360554	Fitness standard deviation:	46.337484187386856	Best genome:	E4	N5	A6	A14	N6	A11	N12	A15	A12	N9	A13	A16	E5	A9	N3	E3	N7	A10	A8	A17	A7	
Generation:	528	Best fitness:	187.556462585034	Average fitness:	275.3721768707483	Fitness standard deviation:	42.544301496157146	Best genome:	E4	N5	A6	A14	N6	A11	N12	A15	A12	N9	A13	A16	E5	A9	N3	E3	N7	A10	A8	A17	A7	
Generation:	544	Best fitness:	175.8421768707483	Average fitness:	277.73789115646264	Fitness standard deviation:	46.09835915004493	Best genome:	A9	N3	A7	A13	A15	N6	N7	N5	E4	A11	N12	E3	A17	A10	A6	A14	A12	E5	A8	N9	A16	
Generation:	560	Best fitness:	175.8421768707483	Average fitness:	275.9521768707483	Fitness standard deviation:	41.94486203363182	Best genome:	A9	N3	A7	A13	A15	N6	N7	N5	E4	A11	N12	E3	A17	A10	A6	A14	A12	E5	A8	N9	A16	
Generation:	576	Best fitness:	175.8421768707483	Average fitness:	288.2821768707483	Fitness standard deviation:	39.63426511780648	Best genome:	A9	N3	A7	A13	A15	N6	N7	N5	E4	A11	N12	E3	A17	A10	A6	A14	A12	E5	A8	N9	A16	
Generation:	592	Best fitness:	172.8421768707483	Average fitness:	285.13646258503405	Fitness standard deviation:	44.04464534621058	Best genome:	A9	N3	A7	A13	N6	N7	N5	A15	A17	E4	A11	N12	E3	A10	A6	A14	A12	E5	A8	N9	A16	
Generation:	608	Best fitness:	172.8421768707483	Average fitness:	276.0478911564626	Fitness standard deviation:	47.48468333073738	Best genome:	A9	N3	A7	A13	N6	N7	N5	A15	A17	E4	A11	N12	E3	A10	A6	A14	A12	E5	A8	N9	A16	
Generation:	624	Best fitness:	148.8421768707483	Average fitness:	274.6264625850341	Fitness standard deviation:	56.25664766160929	Best genome:	A9	N3	A7	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	
