Generation:	416	Best fitness:	146.69931972789115	Average fitness:	264.73503401360546	Fitness standard deviation:	58.18492818030232	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	432	Best fitness:	146.69931972789115	Average fitness:	282.25217687074826	Fitness standard deviation:	63.25946845318566	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	448	Best fitness:	146.69931972789115	Average fitness:	277.9350340136054	Fitness standard deviation:	50.26619659779487	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	464	Best fitness:	146.69931972789115	Average fitness:	278.1278911564625	Fitness standard deviation:	51.054767711962505	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	480	Best fitness:	146.69931972789115	Average fitness:	285.03503401360547	Fitness standard deviation:	59.012609427380625	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	496	Best fitness:	146.69931972789115	Average fitness:	286.68074829931976	Fitness standard deviation:	52.2179836681516	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	512	Best fitness:	146.69931972789115	Average fitness:	290.5393197278911	Fitness standard deviation:	67.89320509417112	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	528	Best fitness:	146.69931972789115	Average fitness:	283.69789115646256	Fitness standard deviation:	45.92741787042788	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	544	Best fitness:	146.69931972789115	Average fitness:	289.06646258503395	Fitness standard deviation:	55.89399900248502	Best genome:	A9	A11	N6	N7	A10	E3	A15	A12	A6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	560	Best fitness:	143.69931972789115	Average fitness:	255.7093197278911	Fitness standard deviation:	58.139094490396616	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	576	Best fitness:	143.69931972789115	Average fitness:	269.52360544217686	Fitness standard deviation:	53.971425754367324	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	592	Best fitness:	143.69931972789115	Average fitness:	278.68217687074826	Fitness standard deviation:	51.99060935615672	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	608	Best fitness:	143.69931972789115	Average fitness:	269.0321768707483	Fitness standard deviation:	49.71895895522992	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	624	Best fitness:	143.69931972789115	Average fitness:	285.4536054421769	Fitness standard deviation:	55.67725098773305	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	640	Best fitness:	143.69931972789115	Average fitness:	267.97646258503397	Fitness standard deviation:	47.109169002240236	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	656	Best fitness:	143.69931972789115	Average fitness:	290.52217687074824	Fitness standard deviation:	64.31131147530323	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	672	Best fitness:	143.69931972789115	Average fitness:	278.0093197278912	Fitness standard deviation:	51.499823875268476	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	N9	A13	A14	A17	A16	E5	A8	
Generation:	688	Best fitness:	138.756462585034	Average fitness:	273.036462585034	Fitness standard deviation:	52.50398981923922	Best genome:	A9	A11	A15	A12	N7	A10	E3	A6	N6	N12	N3	E4	N5	A7	A14	A17	N9	A16	A13	E5	A8	
Generation:	704	Best fitness:	135.756462585034	Average fitness:	279.206462585034	Fitness standard deviation:	57.193547427545866	Best genome:	A9	A11	A15	A10	N12	N6	E3	A6	A12	N7	N3	E4	N5	A7	A14	A17	N9	A16	A13	E5	A8	
Generation:	720	Best fitness:	135.756462585034	Average fitness:	268.45360544217687	Fitness standard deviation:	54.05460610175905	Best genome:	A9	A11	A15	A10	N12	N6	E3	A6	A12	N7	N3	E4	N5	A7	A14	A17	N9	A16	A13	E5	A8	
Generation:	736	Best fitness:	135.756462585034	Average fitness:	291.2221768707483	Fitness standard deviation:	57.94052975038373	Best genome:	A9	A11	A15	A10	N12	N6	E3	A6	A12	N7	N3	E4	N5	A7	A14	A17	N9	A16	A13	E5	A8	
Generation:	752	Best fitness:	135.756462585034	Average fitness:	273.00646258503394	Fitness standard deviation:	50.74282567164404	Best genome:	A9	A11	A15	A10	N12	N6	E3	A6	A12	N7	N3	E4	N5	A7	A14	A17	N9	A16	A13	E5	A8	
Generation:	768	Best fitness:	135.756462585034	Average fitness:	254.84931972789119	Fitness standard deviation:	53.98827754471242	Best genome:	A9	A11	A15	A10	N12	N6	E3	A6	A12	N7	N3	E4	N5	A7	A14	A17	N9	A16	A13	E5	A8	
Generation:	784	Best fitness:	108.75646258503401	Average fitness:	257.3307482993197	Fitness standard deviation:	59.84995381308637	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	800	Best fitness:	108.75646258503401	Average fitness:	252.40074829931967	Fitness standard deviation:	67.278781247303	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	816	Best fitness:	108.75646258503401	Average fitness:	256.19217687074826	Fitness standard deviation:	65.1156947600318	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	832	Best fitness:	108.75646258503401	Average fitness:	288.3650340136054	Fitness standard deviation:	70.88049620916281	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	848	Best fitness:	108.75646258503401	Average fitness:	274.44074829931964	Fitness standard deviation:	53.98545191407911	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	864	Best fitness:	108.75646258503401	Average fitness:	240.96074829931968	Fitness standard deviation:	61.80631912412734	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	880	Best fitness:	108.75646258503401	Average fitness:	289.5536054421769	Fitness standard deviation:	62.674338660496545	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	896	Best fitness:	108.75646258503401	Average fitness:	269.986462585034	Fitness standard deviation:	54.07775994258789	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	912	Best fitness:	108.75646258503401	Average fitness:	275.94646258503406	Fitness standard deviation:	53.51000537759462	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	928	Best fitness:	108.75646258503401	Average fitness:	247.41503401360538	Fitness standard deviation:	59.19329490089641	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	944	Best fitness:	108.75646258503401	Average fitness:	251.66074829931972	Fitness standard deviation:	62.99639592865611	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	960	Best fitness:	108.75646258503401	Average fitness:	284.4193197278911	Fitness standard deviation:	71.35492408962912	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	976	Best fitness:	108.75646258503401	Average fitness:	254.15074829931967	Fitness standard deviation:	63.178272938001186	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	992	Best fitness:	108.75646258503401	Average fitness:	272.45931972789117	Fitness standard deviation:	62.18809479871432	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1008	Best fitness:	108.75646258503401	Average fitness:	273.2750340136054	Fitness standard deviation:	74.97973999824274	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1024	Best fitness:	108.75646258503401	Average fitness:	256.79646258503396	Fitness standard deviation:	61.599007015585265	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1040	Best fitness:	108.75646258503401	Average fitness:	262.0964625850339	Fitness standard deviation:	48.35497644440307	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1056	Best fitness:	108.75646258503401	Average fitness:	248.60074829931972	Fitness standard deviation:	66.23332749778295	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1072	Best fitness:	108.75646258503401	Average fitness:	277.6593197278911	Fitness standard deviation:	62.15902738713248	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1088	Best fitness:	108.75646258503401	Average fitness:	261.9978911564625	Fitness standard deviation:	62.81769897156081	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1104	Best fitness:	108.75646258503401	Average fitness:	265.2707482993197	Fitness standard deviation:	77.10955206981923	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1120	Best fitness:	108.75646258503401	Average fitness:	256.216462585034	Fitness standard deviation:	52.25371456379236	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
