Generation:	416	Best fitness:	170.47074829931972	Average fitness:	281.36074829931977	Fitness standard deviation:	51.14806220519932	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A17	A14	A8	A16	
Generation:	432	Best fitness:	170.47074829931972	Average fitness:	280.7107482993198	Fitness standard deviation:	59.46143555589074	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A17	A14	A8	A16	
Generation:	448	Best fitness:	170.47074829931972	Average fitness:	271.523605442177	Fitness standard deviation:	41.826946958112245	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A17	A14	A8	A16	
Generation:	464	Best fitness:	170.47074829931972	Average fitness:	300.3378911564626	Fitness standard deviation:	47.88342244345071	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A17	A14	A8	A16	
Generation:	480	Best fitness:	170.47074829931972	Average fitness:	307.2050340136055	Fitness standard deviation:	48.42258462784506	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A17	A14	A8	A16	
Generation:	496	Best fitness:	170.47074829931972	Average fitness:	307.98503401360546	Fitness standard deviation:	45.28677330893309	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A17	A14	A8	A16	
Generation:	512	Best fitness:	168.47074829931972	Average fitness:	281.1336054421769	Fitness standard deviation:	56.09852528164632	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A14	A17	A8	A16	
Generation:	528	Best fitness:	168.47074829931972	Average fitness:	311.0836054421769	Fitness standard deviation:	56.65979352275136	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A14	A17	A8	A16	
Generation:	544	Best fitness:	168.47074829931972	Average fitness:	285.78646258503403	Fitness standard deviation:	38.156484965179374	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A14	A17	A8	A16	
Generation:	560	Best fitness:	168.47074829931972	Average fitness:	278.356462585034	Fitness standard deviation:	51.90498855345885	Best genome:	A9	E4	A10	E3	A6	A12	N9	A13	E5	A15	N6	A11	N12	N7	N5	N3	A7	A14	A17	A8	A16	
